userId,train,gt,rec_AMR_audio,CR_AMR_audio,PB_AMR_audio,FA_AMR_audio,NO_AMR_audio,DI_AMR_audio,CB_AMR_audio,RC_AMR_audio,ND_AMR_audio,CV_AMR_audio
1,"[2692, 260, 1028, 1287, 1029, 1035, 914, 661, 150, 919, 1193, 1961, 2355, 1207, 1097, 2762, 588, 595, 1246, 608, 2028, 2797, 3186, 1907, 2804, 1270]","[2791, 1962, 1197, 3408, 594, 1721, 1022]","[2572, 1198, 1968, 1196, 246, 2761, 594, 318, 1197, 912]",0.0,0.06083941605839416,0.14967006598680266,10.081124663366378,0.8869841269841271,2.256556248994304,0.2857142857142857,0.17437146561008365,0.9057437407952872
2,"[1792, 648, 265, 1801, 1544, 780, 2312, 3471, 1552, 2067, 1687, 1945, 1953, 3107, 163, 165, 1193, 1962, 2858, 1196, 1198, 1968, 2353, 3893, 3255, 3256, 1207, 442, 3257, 1213, 318, 1090, 2628, 2501, 3654, 457, 589, 1103, 593, 2002, 1370, 1372, 1244, 1246, 2396, 736, 3809, 1245, 2916, 235, 2028, 368, 1917]","[1537, 2881, 515, 1247, 1527, 647, 3147, 590, 2194, 434, 1690, 920, 3735, 1784, 2490, 2717, 95]","[2243, 2948, 912, 153, 2194, 1608, 2336, 2064, 1960, 1247]",0.0,0.019635036496350365,0.10000000000000009,11.65318659795678,0.8103703703703703,1.9916021274530709,0.11764705882352941,0.1487639058405727,0.9057437407952872
3,"[260, 1291, 653, 1304, 2081, 2470, 552, 1961, 2858, 1196, 1197, 1968, 2355, 1079, 3534, 590, 593, 733, 1378, 104, 1394, 1270]","[2115, 648, 1580, 1261, 1198, 1615, 1136, 1266, 2997, 2617, 3868]","[3210, 1198, 1275, 1222, 2791, 919, 588, 1784, 589, 2028]",0.0,0.020583941605839415,0.1606382978723404,10.956709032497992,0.814074074074074,2.315745292703607,0.09090909090909091,0.13886244387355454,0.9057437407952872
4,"[260, 3527, 1097, 1387, 2028, 1196, 1198, 1240, 1214, 2366]",[2692],"[589, 2762, 1291, 2948, 858, 2858, 318, 2716, 457, 2001]",0.0,0.04262773722627737,0.23852739726027417,10.01372981967825,0.8137037037037036,3.1011573881727235,0.0,0.0,0.9057437407952872
5,"[2560, 1921, 515, 2692, 265, 3083, 908, 2959, 913, 2580, 1429, 150, 919, 2716, 2717, 3744, 2723, 2599, 1192, 1449, 2858, 3499, 3624, 2987, 1580, 2355, 2997, 318, 1089, 1729, 968, 2762, 3408, 3793, 1617, 593, 2384, 728, 2908, 1500, 733, 1884, 608, 353, 1635, 357, 3176, 1513, 2028, 2291, 1653, 377, 2683, 2428, 509]","[288, 224, 1527, 2916, 1732, 1734, 2058, 1643, 2700, 1485, 1517, 2353, 1909, 1719, 1721, 3386, 1213]","[223, 2710, 2686, 260, 2628, 1345, 2064, 3897, 2329, 2324]",0.0,0.03901459854014598,0.1376052385406923,10.819072541850101,0.837037037037037,6.198174071326457,0.0,0.0,0.9057437407952872
6,"[1028, 3717, 1674, 1035, 266, 912, 914, 2966, 920, 2081, 2082, 3624, 3753, 2858, 3501, 2100, 1088, 838, 2506, 588, 590, 3534, 3536, 3408, 595, 2396, 3682, 377, 383]",[368],"[3257, 919, 2805, 2067, 1721, 224, 2243, 1299, 3481, 509]",0.0,0.04321167883211679,0.15523648648648658,10.750703012251384,0.6423809523809525,2.391963385304895,0.0,0.0,0.9057437407952872
7,"[3107, 648, 3753, 2028, 1580, 589, 442, 2353, 3793, 1270, 3256, 474, 733]","[2916, 377, 1196, 457]","[2001, 524, 2948, 368, 3624, 1196, 3527, 2291, 161, 1687]",0.0,0.08397810218978101,0.15554106910039112,9.918766104550325,0.7801058201058202,0.7462343217506685,0.25,0.13905617951077562,0.9057437407952872
8,"[2688, 1027, 2692, 1801, 266, 2702, 1682, 2324, 2712, 3481, 538, 282, 2336, 288, 161, 163, 1059, 3107, 2600, 2858, 555, 1580, 1711, 3257, 2490, 1213, 589, 1488, 337, 2396, 733, 2908, 608, 2916, 3173, 2023, 105, 2028, 1393, 3186, 2291, 1653, 377, 508, 253, 2686]","[1120, 1476, 454, 3528, 265, 3147, 908, 524, 111, 1721, 3252, 150, 151, 3256, 2329, 3386]","[1341, 1719, 2710, 3176, 151, 1729, 2329, 2353, 223, 1694]",0.0,0.01748175182481752,0.18392484342379967,10.983333557822197,0.8122222222222223,1.6508086630174126,0.125,0.15850703974098102,0.9057437407952872
9,"[1921, 2692, 3717, 778, 524, 2959, 912, 529, 1552, 1682, 2324, 920, 1060, 805, 1446, 3623, 2599, 1961, 2858, 3751, 300, 1584, 2355, 3255, 1721, 1213, 318, 1089, 838, 457, 3147, 1356, 590, 1358, 3408, 593, 1617, 3793, 1500, 223, 2028, 1777, 1653, 1784, 377, 1148, 2302]","[608, 1223, 2762, 367, 1393, 3253, 150, 508]","[2700, 246, 3745, 2329, 1223, 2580, 2762, 1059, 2291, 924]",0.0,0.04948905109489051,0.10000000000000009,11.519818687898809,0.8985185185185185,3.157725626756344,0.25,0.1821658288910461,0.9057437407952872
10,"[1028, 1035, 1042, 2067, 539, 541, 2078, 543, 2080, 2081, 2082, 1059, 2599, 2087, 2090, 1580, 2094, 1584, 1586, 2100, 1079, 1080, 2617, 2105, 1088, 1091, 2115, 1097, 586, 588, 589, 590, 592, 1617, 1104, 594, 596, 3668, 2640, 2135, 2136, 2140, 1633, 2657, 1125, 3175, 104, 1136, 2161, 116, 1653, 3701, 1148, 3198, 648, 1676, 653, 1682, 150, 153, 1690, 2716, 2717, 1196, 1197, 1198, 1200, 1203, 3252, 3255, 1721, 186, 1214, 1215, 3264, 1223, 223, 3296, 1247, 1252, 2791, 743, 2795, 2291, 2804, 1270, 1271, 248, 2300, 1276, 765, 260, 2312, 1291, 780, 2324, 1302, 1304, 282, 2336, 2858, 2863, 2355, 3386, 1339, 316, 830, 1345, 329, 2378, 3408, 339, 344, 858, 1371, 1372, 1884, 1374, 1375, 351, 2396, 1376, 357, 2407, 367, 3439, 370, 2424, 1918, 1921, 898, 1409, 2948, 904, 2959, 3471, 913, 912, 918, 919, 2968, 3481, 920, 923, 924, 2470, 1961, 3501, 943, 435, 2997, 2497, 2011, 3037, 2015, 3039, 2021, 1513, 1517, 1019, 1020, 2046]","[2436, 2054, 1287, 1544, 3593, 2826, 3087, 784, 914, 2967, 3097, 3868, 926, 1278, 3363, 3751, 180, 3254, 953, 318, 2622, 2302, 2628, 2501, 2762, 587, 2124, 1356, 2001, 1234, 595, 2002, 1240, 3675, 3809, 1387, 2797, 750, 368, 1394, 1784, 253, 1022, 2431]","[1207, 1968, 595, 3448, 318, 1587, 2054, 1240, 2028, 2628]",0.0,0.012700729927007298,0.18045977011494263,11.077360560703838,0.8271428571428572,2.8239887568061226,0.11363636363636363,0.40160493302575007,0.9057437407952872
11,"[1665, 778, 2959, 784, 1042, 1682, 2580, 788, 2710, 2712, 2329, 3101, 1278, 543, 1059, 2598, 2858, 3499, 1198, 2355, 435, 2997, 3255, 1080, 1213, 1089, 1732, 3396, 2762, 587, 1358, 590, 593, 2136, 216, 1244, 608, 481, 3809, 357, 104, 1136, 1394, 2804, 246, 1784, 2302, 2431]","[3107, 515, 454, 2791, 231, 3176, 586, 2795, 1197, 1777, 2706, 342, 3448, 2683, 2396, 318]","[223, 367, 2361, 1234, 1270, 1500, 3253, 231, 1120, 3052]",0.0,0.03828467153284672,0.23021925643469987,10.067064540578233,0.5018518518518519,6.147312014233789,0.0625,0.06943122193677727,0.9057437407952872
12,"[1252, 3785, 1198, 111, 2804, 3897, 858, 923, 1247]","[593, 1193, 919]","[1193, 2858, 2064, 2599, 1207, 919, 2791, 1136, 912, 2948]",0.0,0.0,1.0,12.560332834212442,0.7751851851851852,5.828675664725502,0.6666666666666666,0.6364391809889587,0.9057437407952872
13,"[260, 1287, 648, 1544, 1291, 780, 1429, 153, 1690, 3745, 165, 1446, 421, 552, 2987, 1580, 1197, 1198, 2094, 434, 1587, 3256, 2105, 2617, 316, 318, 1216, 2115, 2628, 329, 2686, 1097, 1356, 589, 590, 2640, 2002, 2135, 1370, 1372, 1375, 1376, 736, 2916, 3175, 2028, 1262, 368, 1393, 2046]","[1527, 517, 2470, 2054, 457, 1196, 592, 593, 2161, 2641, 919, 2968, 1374]","[1196, 362, 1374, 940, 3527, 3147, 1387, 3000, 3654, 379]",0.0,0.03912408759124088,0.1740671641791045,10.757158945304328,0.7386772486772487,2.59262456331613,0.15384615384615385,0.33013764944712026,0.9057437407952872
14,"[608, 2243, 2692, 2694, 3623, 2686, 2858, 2572, 2826, 2762, 1968, 2997, 2396, 1982]","[3354, 2959]","[2081, 3176, 3897, 2683, 2716, 836, 2599, 2336, 3893, 2428]",0.0,0.0,1.0,12.560332834212442,0.8218518518518518,1.6107158101843886,0.0,0.0,0.9057437407952872
15,"[2567, 2058, 524, 2581, 539, 2598, 3623, 3624, 1586, 2617, 2115, 1608, 587, 3147, 1615, 593, 1617, 1619, 1625, 104, 3176, 1644, 1645, 2161, 628, 2683, 2688, 3717, 1672, 648, 653, 2706, 2712, 161, 1193, 3753, 1196, 1198, 3256, 1729, 1732, 2762, 2763, 3798, 733, 231, 748, 1271, 1784, 2302, 260, 2826, 1291, 780, 2841, 805, 2858, 300, 3386, 318, 832, 2882, 344, 2394, 1370, 2396, 2916, 357, 367, 2424, 2959, 2961, 1968, 434, 2997, 2490, 2501, 457, 2506, 3534, 2001, 2002, 1500, 2028, 1527]","[517, 2694, 266, 1805, 141, 2702, 788, 3354, 3499, 1580, 2605, 442, 1213, 2881, 1485, 3408, 2640, 2908, 1892, 368, 1777, 1909]","[3408, 1682, 223, 589, 2353, 1721, 2599, 1213, 150, 316]",0.0,0.057846715328467156,0.2885173501577287,9.183861383999801,0.8055555555555556,2.5612254529295475,0.09090909090909091,0.28952298823485745,0.9057437407952872
