userId,train,gt,rec_AMR_visual,CR_AMR_visual,PB_AMR_visual,FA_AMR_visual,NO_AMR_visual,DI_AMR_visual,CB_AMR_visual,RC_AMR_visual,ND_AMR_visual,CV_AMR_visual
1,"[2692, 260, 1028, 1287, 1029, 1035, 914, 661, 150, 919, 1193, 1961, 2355, 1207, 1097, 2762, 588, 595, 1246, 608, 2028, 2797, 3186, 1907, 2804, 1270]","[2791, 1962, 1197, 3408, 594, 1721, 1022]","[318, 357, 920, 2067, 2396, 1196, 2081, 590, 2858, 594]",0.0,0.03718978102189781,0.2254170755642788,9.568150771687588,0.7880952380952381,2.274597187523656,0.14285714285714285,0.07945707943276742,0.8379970544918999
2,"[1792, 648, 265, 1801, 1544, 780, 2312, 3471, 1552, 2067, 1687, 1945, 1953, 3107, 163, 165, 1193, 1962, 2858, 1196, 1198, 1968, 2353, 3893, 3255, 3256, 1207, 442, 3257, 1213, 318, 1090, 2628, 2501, 3654, 457, 589, 1103, 593, 2002, 1370, 1372, 1244, 1246, 2396, 736, 3809, 1245, 2916, 235, 2028, 368, 1917]","[1537, 2881, 515, 1247, 1527, 647, 3147, 590, 2194, 434, 1690, 920, 3735, 1784, 2490, 2717, 95]","[3527, 1275, 2001, 1299, 2105, 923, 1222, 1214, 1960, 1291]",0.0,0.0,1.0,12.560332834212442,0.7558730158730157,1.517790047117219,0.0,0.0,0.8379970544918999
3,"[260, 1291, 653, 1304, 2081, 2470, 552, 1961, 2858, 1196, 1197, 1968, 2355, 1079, 3534, 590, 593, 733, 1378, 104, 1394, 1270]","[2115, 648, 1580, 1261, 1198, 1615, 1136, 1266, 2997, 2617, 3868]","[2396, 318, 1198, 1517, 2115, 2987, 3361, 1214, 2997, 2640]",0.0,0.0075912408759124085,0.10000000000000009,11.790288862398333,0.8148148148148148,2.901020094080816,0.2727272727272727,0.2614432242450501,0.8379970544918999
4,"[260, 3527, 1097, 1387, 2028, 1196, 1198, 1240, 1214, 2366]",[2692],"[924, 750, 2916, 2791, 1376, 592, 2105, 3471, 1270, 589]",0.0,0.01886861313868613,0.1479690522243715,11.003074652947895,0.7451322751322752,2.395489343396589,0.0,0.0,0.8379970544918999
5,"[2560, 1921, 515, 2692, 265, 3083, 908, 2959, 913, 2580, 1429, 150, 919, 2716, 2717, 3744, 2723, 2599, 1192, 1449, 2858, 3499, 3624, 2987, 1580, 2355, 2997, 318, 1089, 1729, 968, 2762, 3408, 3793, 1617, 593, 2384, 728, 2908, 1500, 733, 1884, 608, 353, 1635, 357, 3176, 1513, 2028, 2291, 1653, 377, 2683, 2428, 509]","[288, 224, 1527, 2916, 1732, 1734, 2058, 1643, 2700, 1485, 1517, 2353, 1909, 1719, 1721, 3386, 1213]","[2336, 223, 2761, 2396, 2324, 2706, 1148, 3481, 235, 858]",0.0,0.07178832116788321,0.12043721403152019,10.716600702329703,0.6925925925925926,6.284998099822731,0.0,0.0,0.8379970544918999
6,"[1028, 3717, 1674, 1035, 266, 912, 914, 2966, 920, 2081, 2082, 3624, 3753, 2858, 3501, 2100, 1088, 838, 2506, 588, 590, 3534, 3536, 3408, 595, 2396, 3682, 377, 383]",[368],"[616, 1643, 357, 186, 2640, 318, 3157, 2145, 1672, 942]",0.0,0.05029197080291971,0.30000000000000004,9.251334760722315,0.8537037037037036,4.804668220098652,0.0,0.0,0.8379970544918999
7,"[3107, 648, 3753, 2028, 1580, 589, 442, 2353, 3793, 1270, 3256, 474, 733]","[2916, 377, 1196, 457]","[1291, 1552, 1196, 3527, 1617, 457, 593, 1527, 377, 3252]",0.0,0.056861313868613136,0.2490372272143775,9.880301244380316,0.7453439153439153,1.2455240905988463,0.75,0.4517623092632536,0.8379970544918999
8,"[2688, 1027, 2692, 1801, 266, 2702, 1682, 2324, 2712, 3481, 538, 282, 2336, 288, 161, 163, 1059, 3107, 2600, 2858, 555, 1580, 1711, 3257, 2490, 1213, 589, 1488, 337, 2396, 733, 2908, 608, 2916, 3173, 2023, 105, 2028, 1393, 3186, 2291, 1653, 377, 508, 253, 2686]","[1120, 1476, 454, 3528, 265, 3147, 908, 524, 111, 1721, 3252, 150, 151, 3256, 2329, 3386]","[3252, 1617, 1620, 3528, 593, 1643, 509, 357, 3176, 1729]",0.0,0.04587591240875912,0.24653937947494042,9.972980070639725,0.6677777777777778,5.495801214536082,0.125,0.31488013066763093,0.8379970544918999
9,"[1921, 2692, 3717, 778, 524, 2959, 912, 529, 1552, 1682, 2324, 920, 1060, 805, 1446, 3623, 2599, 1961, 2858, 3751, 300, 1584, 2355, 3255, 1721, 1213, 318, 1089, 838, 457, 3147, 1356, 590, 1358, 3408, 593, 1617, 3793, 1500, 223, 2028, 1777, 1653, 1784, 377, 1148, 2302]","[608, 1223, 2762, 367, 1393, 3253, 150, 508]","[3481, 2762, 608, 3897, 2291, 2396, 3252, 2997, 539, 246]",0.1,0.05478102189781022,0.11958694203864106,10.703831554220969,0.8037037037037038,5.2329724466411065,0.25,0.2860604285087249,0.8379970544918999
10,"[1028, 1035, 1042, 2067, 539, 541, 2078, 543, 2080, 2081, 2082, 1059, 2599, 2087, 2090, 1580, 2094, 1584, 1586, 2100, 1079, 1080, 2617, 2105, 1088, 1091, 2115, 1097, 586, 588, 589, 590, 592, 1617, 1104, 594, 596, 3668, 2640, 2135, 2136, 2140, 1633, 2657, 1125, 3175, 104, 1136, 2161, 116, 1653, 3701, 1148, 3198, 648, 1676, 653, 1682, 150, 153, 1690, 2716, 2717, 1196, 1197, 1198, 1200, 1203, 3252, 3255, 1721, 186, 1214, 1215, 3264, 1223, 223, 3296, 1247, 1252, 2791, 743, 2795, 2291, 2804, 1270, 1271, 248, 2300, 1276, 765, 260, 2312, 1291, 780, 2324, 1302, 1304, 282, 2336, 2858, 2863, 2355, 3386, 1339, 316, 830, 1345, 329, 2378, 3408, 339, 344, 858, 1371, 1372, 1884, 1374, 1375, 351, 2396, 1376, 357, 2407, 367, 3439, 370, 2424, 1918, 1921, 898, 1409, 2948, 904, 2959, 3471, 913, 912, 918, 919, 2968, 3481, 920, 923, 924, 2470, 1961, 3501, 943, 435, 2997, 2497, 2011, 3037, 2015, 3039, 2021, 1513, 1517, 1019, 1020, 2046]","[2436, 2054, 1287, 1544, 3593, 2826, 3087, 784, 914, 2967, 3097, 3868, 926, 1278, 3363, 3751, 180, 3254, 953, 318, 2622, 2302, 2628, 2501, 2762, 587, 2124, 1356, 2001, 1234, 595, 2002, 1240, 3675, 3809, 1387, 2797, 750, 368, 1394, 1784, 253, 1022, 2431]","[903, 750, 2054, 1911, 1485, 1373, 2877, 3398, 318, 3363]",0.0,0.0075912408759124085,0.10000000000000009,11.790288862398333,0.858148148148148,2.9488649874696193,0.09090909090909091,0.3787833386759354,0.8379970544918999
11,"[1665, 778, 2959, 784, 1042, 1682, 2580, 788, 2710, 2712, 2329, 3101, 1278, 543, 1059, 2598, 2858, 3499, 1198, 2355, 435, 2997, 3255, 1080, 1213, 1089, 1732, 3396, 2762, 587, 1358, 590, 593, 2136, 216, 1244, 608, 481, 3809, 357, 104, 1136, 1394, 2804, 246, 1784, 2302, 2431]","[3107, 515, 454, 2791, 231, 3176, 586, 2795, 1197, 1777, 2706, 342, 3448, 2683, 2396, 318]","[223, 1060, 1884, 344, 2700, 1285, 1302, 1961, 2791, 2683]",0.0,0.030839416058394166,0.14757396449704152,10.862135977283089,0.5074074074074074,7.37960694326975,0.125,0.12987501165334076,0.8379970544918999
