userId,train,gt,rec_VBPR_text,CR_VBPR_text,PB_VBPR_text,FA_VBPR_text,NO_VBPR_text,DI_VBPR_text,CB_VBPR_text,RC_VBPR_text,ND_VBPR_text,CV_VBPR_text
1,"[2692, 260, 1028, 1287, 1029, 1035, 914, 661, 150, 919, 1193, 1961, 2355, 1207, 1097, 2762, 588, 595, 1246, 608, 2028, 2797, 3186, 1907, 2804, 1270]","[2791, 1962, 1197, 3408, 594, 1721, 1022]","[2858, 593, 318, 1196, 1198, 1291, 1617, 2081, 3147, 590]",0.0,0.021167883211678833,0.22344827586206906,10.34597508126867,0.8188888888888889,1.2897504191660678,0.0,0.0,0.8070692194403535
2,"[1792, 648, 265, 1801, 1544, 780, 2312, 3471, 1552, 2067, 1687, 1945, 1953, 3107, 163, 165, 1193, 1962, 2858, 1196, 1198, 1968, 2353, 3893, 3255, 3256, 1207, 442, 3257, 1213, 318, 1090, 2628, 2501, 3654, 457, 589, 1103, 593, 2002, 1370, 1372, 1244, 1246, 2396, 736, 3809, 1245, 2916, 235, 2028, 368, 1917]","[1537, 2881, 515, 1247, 1527, 647, 3147, 590, 2194, 434, 1690, 920, 3735, 1784, 2490, 2717, 95]","[1580, 474, 377, 1270, 1608, 608, 1304, 1784, 260, 733]",0.1,0.06043795620437956,0.20676328502415475,9.887942330104467,0.7544444444444444,1.1411331725010054,0.058823529411764705,0.06943122193677727,0.8070692194403535
3,"[260, 1291, 653, 1304, 2081, 2470, 552, 1961, 2858, 1196, 1197, 1968, 2355, 1079, 3534, 590, 593, 733, 1378, 104, 1394, 1270]","[2115, 648, 1580, 1261, 1198, 1615, 1136, 1266, 2997, 2617, 3868]","[3361, 2001, 1198, 3082, 1784, 919, 368, 2716, 2115, 2628]",0.0,0.06558394160583941,0.10000000000000009,11.479195364861448,0.8015873015873015,1.646095949574208,0.18181818181818182,0.17630010660342912,0.8070692194403535
4,"[260, 3527, 1097, 1387, 2028, 1196, 1198, 1240, 1214, 2366]",[2692],"[1200, 589, 858, 1270, 1291, 318, 593, 541, 3363, 2916]",0.0,0.044343065693430654,0.35267489711934163,9.276184497078455,0.8085185185185183,3.480641445270511,0.0,0.0,0.8070692194403535
5,"[2560, 1921, 515, 2692, 265, 3083, 908, 2959, 913, 2580, 1429, 150, 919, 2716, 2717, 3744, 2723, 2599, 1192, 1449, 2858, 3499, 3624, 2987, 1580, 2355, 2997, 318, 1089, 1729, 968, 2762, 3408, 3793, 1617, 593, 2384, 728, 2908, 1500, 733, 1884, 608, 353, 1635, 357, 3176, 1513, 2028, 2291, 1653, 377, 2683, 2428, 509]","[288, 224, 1527, 2916, 1732, 1734, 2058, 1643, 2700, 1485, 1517, 2353, 1909, 1719, 1721, 3386, 1213]","[223, 2712, 2396, 260, 589, 3175, 1196, 2329, 2710, 1213]",0.0,0.05335766423357664,0.2087551299589605,9.957233991624241,0.8707407407407408,2.229665787265005,0.058823529411764705,0.06362078819895171,0.8070692194403535
6,"[1028, 3717, 1674, 1035, 266, 912, 914, 2966, 920, 2081, 2082, 3624, 3753, 2858, 3501, 2100, 1088, 838, 2506, 588, 590, 3534, 3536, 3408, 595, 2396, 3682, 377, 383]",[368],"[1721, 2628, 539, 3751, 1393, 919, 260, 2355, 368, 2424]",0.0,0.10248175182481752,0.18219373219373236,9.787053107939162,0.8092063492063493,2.0391124679785317,1.0,0.3010299956639812,0.8070692194403535
7,"[3107, 648, 3753, 2028, 1580, 589, 442, 2353, 3793, 1270, 3256, 474, 733]","[2916, 377, 1196, 457]","[457, 2916, 260, 593, 1198, 2058, 858, 2762, 1370, 3624]",0.0,0.06321167883211679,0.23406466512702084,9.848025306393694,0.6540740740740741,2.8095264887124918,0.5,0.6366824387328317,0.8070692194403535
8,"[2688, 1027, 2692, 1801, 266, 2702, 1682, 2324, 2712, 3481, 538, 282, 2336, 288, 161, 163, 1059, 3107, 2600, 2858, 555, 1580, 1711, 3257, 2490, 1213, 589, 1488, 337, 2396, 733, 2908, 608, 2916, 3173, 2023, 105, 2028, 1393, 3186, 2291, 1653, 377, 508, 253, 2686]","[1120, 1476, 454, 3528, 265, 3147, 908, 524, 111, 1721, 3252, 150, 151, 3256, 2329, 3386]","[593, 2762, 3176, 318, 457, 2959, 1358, 509, 1917, 3147]",0.0,0.05105839416058394,0.3208720514653325,9.218821775274225,0.621851851851852,3.1438571939314057,0.0625,0.06362078819895171,0.8070692194403535
9,"[1921, 2692, 3717, 778, 524, 2959, 912, 529, 1552, 1682, 2324, 920, 1060, 805, 1446, 3623, 2599, 1961, 2858, 3751, 300, 1584, 2355, 3255, 1721, 1213, 318, 1089, 838, 457, 3147, 1356, 590, 1358, 3408, 593, 1617, 3793, 1500, 223, 2028, 1777, 1653, 1784, 377, 1148, 2302]","[608, 1223, 2762, 367, 1393, 3253, 150, 508]","[2762, 608, 1580, 2396, 589, 150, 2628, 260, 1393, 3753]",0.1,0.07317518248175182,0.25301745635910233,9.668811623080053,0.8362962962962964,1.7029933080870001,0.5,0.5787751292623047,0.8070692194403535
10,"[1028, 1035, 1042, 2067, 539, 541, 2078, 543, 2080, 2081, 2082, 1059, 2599, 2087, 2090, 1580, 2094, 1584, 1586, 2100, 1079, 1080, 2617, 2105, 1088, 1091, 2115, 1097, 586, 588, 589, 590, 592, 1617, 1104, 594, 596, 3668, 2640, 2135, 2136, 2140, 1633, 2657, 1125, 3175, 104, 1136, 2161, 116, 1653, 3701, 1148, 3198, 648, 1676, 653, 1682, 150, 153, 1690, 2716, 2717, 1196, 1197, 1198, 1200, 1203, 3252, 3255, 1721, 186, 1214, 1215, 3264, 1223, 223, 3296, 1247, 1252, 2791, 743, 2795, 2291, 2804, 1270, 1271, 248, 2300, 1276, 765, 260, 2312, 1291, 780, 2324, 1302, 1304, 282, 2336, 2858, 2863, 2355, 3386, 1339, 316, 830, 1345, 329, 2378, 3408, 339, 344, 858, 1371, 1372, 1884, 1374, 1375, 351, 2396, 1376, 357, 2407, 367, 3439, 370, 2424, 1918, 1921, 898, 1409, 2948, 904, 2959, 3471, 913, 912, 918, 919, 2968, 3481, 920, 923, 924, 2470, 1961, 3501, 943, 435, 2997, 2497, 2011, 3037, 2015, 3039, 2021, 1513, 1517, 1019, 1020, 2046]","[2436, 2054, 1287, 1544, 3593, 2826, 3087, 784, 914, 2967, 3097, 3868, 926, 1278, 3363, 3751, 180, 3254, 953, 318, 2622, 2302, 2628, 2501, 2762, 587, 2124, 1356, 2001, 1234, 595, 2002, 1240, 3675, 3809, 1387, 2797, 750, 368, 1394, 1784, 253, 1022, 2431]","[2628, 608, 1356, 1614, 1784, 1027, 3361, 1285, 750, 1206]",0.1,7.2992700729927e-05,0.10000000000000009,12.460332834212442,0.8251851851851851,4.59161433767736,0.09090909090909091,0.48153499054313026,0.8070692194403535
