Model,Data,NoModality,Textual,Visual,Audio,NoFusion,FusedPCA,FusedCCA,Recall10,NDCG10,ColdRate10,Coverage10,PopBias,Fairness,Novelty,Diversity,CalibrationBias
MF,-,1,0,0,0,1,0,0,0.077,0.13,0.011,0.651,0.019,0.339,11.546,0.796,5.138
TopPop,-,1,0,0,0,1,0,0,0.126,0.21,0.066,0.1,0.039,0.196,10.587,0.806,3.64
VAECF,-,1,0,0,0,1,0,0,0.249,0.358,0.015,0.867,0.025,0.35,11.272,0.72,3.564
VBPR,Text-rawOpenAI,0,1,0,0,1,0,0,0.237,0.359,0.023,0.817,0.034,0.254,10.893,0.77,2.832
VBPR,Text-rawLlama,0,1,0,0,1,0,0,0.225,0.339,0.026,0.807,0.028,0.264,11.078,0.782,2.704
VBPR,Text-rawST,0,1,0,0,1,0,0,0.232,0.342,0.016,0.918,0.03,0.288,11.061,0.764,2.849
VBPR,Text-llmOpenAI,0,1,0,0,1,0,0,0.241,0.362,0.023,0.795,0.027,0.289,11.119,0.768,2.811
VBPR,Text-llmLlama,0,1,0,0,1,0,0,0.224,0.34,0.011,0.806,0.029,0.272,11.051,0.785,2.707
VBPR,Text-llmST,0,1,0,0,1,0,0,0.234,0.351,0.025,0.875,0.029,0.299,11.112,0.758,3.026
VBPR,Visual-CNN,0,0,1,0,1,0,0,0.216,0.325,0.025,0.769,0.025,0.267,11.18,0.776,2.743
VBPR,Visual-AVF,0,0,1,0,1,0,0,0.202,0.236,0.008,0.984,0.022,0.374,11.471,0.765,3.128
VBPR,Audio-BLF,0,0,0,1,1,0,0,0.221,0.331,0.011,0.859,0.027,0.307,11.096,0.762,2.946
VBPR,Audio-iVector,0,0,0,1,1,0,0,0.23,0.329,0.009,0.966,0.026,0.355,11.23,0.743,3.318
VBPR,rawOpenAI-CNN-BLF,0,1,1,1,0,1,0,0.222,0.333,0.014,0.873,0.03,0.271,10.918,0.769,2.875
VBPR,rawOpenAI-CNN-IV,0,1,1,1,0,1,0,0.222,0.328,0.016,0.892,0.029,0.267,11.014,0.774,2.831
VBPR,rawOpenAI-AVF-BLF,0,1,1,1,0,1,0,0.223,0.336,0.016,0.8,0.027,0.292,11.087,0.773,2.883
VBPR,rawOpenAI-AVF-IV,0,1,1,1,0,1,0,0.22,0.336,0.021,0.854,0.033,0.249,11.013,0.773,2.868
VBPR,llmOpenAI-CNN-BLF,0,1,1,1,0,1,0,0.22,0.328,0.024,0.888,0.027,0.273,11.081,0.768,2.858
VBPR,llmOpenAI-CNN-IV,0,1,1,1,0,1,0,0.219,0.333,0.013,0.856,0.025,0.308,11.086,0.759,3.003
VBPR,llmLlama-CNN-IV,0,1,1,1,0,1,0,0.22,0.327,0.013,0.89,0.026,0.298,11.163,0.784,2.819
VBPR,llmST-CNN-IV,0,1,1,1,0,1,0,0.219,0.324,0.009,0.937,0.027,0.282,11.058,0.763,3.024
VBPR,llmOpenAI-AVF-BLF,0,1,1,1,0,1,0,0.222,0.339,0.011,0.791,0.03,0.303,10.999,0.777,2.876
VBPR,llmOpenAI-AVF-IV,0,1,1,1,0,1,0,0.226,0.334,0.016,0.872,0.024,0.307,11.225,0.773,2.815
VBPR,rawOpenAI-CNN-BLF,0,1,1,1,0,0,1,0.227,0.337,0.014,0.954,0.029,0.321,11.158,0.734,3.331
VBPR,rawOpenAI-CNN-IV,0,1,1,1,0,0,1,0.23,0.331,0.016,0.96,0.026,0.328,11.216,0.743,3.223
VBPR,rawOpenAI-AVF-BLF,0,1,1,1,0,0,1,0.224,0.328,0.012,0.968,0.026,0.35,11.234,0.743,3.197
VBPR,rawOpenAI-AVF-IV,0,1,1,1,0,0,1,0.226,0.338,0.012,0.953,0.026,0.349,11.22,0.736,3.332
VBPR,llmOpenAI-CNN-BLF,0,1,1,1,0,0,1,0.229,0.34,0.013,0.95,0.029,0.318,11.063,0.736,3.364
VBPR,llmOpenAI-CNN-IV,0,1,1,1,0,0,1,0.227,0.336,0.017,0.948,0.026,0.335,11.227,0.737,3.319
VBPR,llmLlama-CNN-IV,0,1,1,1,0,0,1,0.226,0.338,0.01,0.946,0.025,0.349,11.251,0.739,3.28
VBPR,llmST-CNN-IV,0,1,1,1,0,0,1,0.229,0.339,0.013,0.951,0.03,0.318,11.054,0.733,3.398
VBPR,llmOpenAI-AVF-BLF,0,1,1,1,0,0,1,0.227,0.336,0.013,0.948,0.029,0.343,11.19,0.734,3.454
VBPR,llmOpenAI-AVF-IV,0,1,1,1,0,0,1,0.225,0.336,0.016,0.96,0.026,0.336,11.214,0.737,3.414
AMR,Text-rawOpenAI,0,1,0,0,1,0,0,0.223,0.339,0.015,0.897,0.027,0.311,11.14,0.749,3.302
AMR,Text-rawLlama,0,1,0,0,1,0,0,0.172,0.256,0.003,0.951,0.022,0.335,11.294,0.748,3.5
AMR,Text-rawST,0,1,0,0,1,0,0,0.214,0.327,0.013,0.906,0.027,0.329,11.182,0.753,3.294
AMR,Text-llmOpenAI,0,1,0,0,1,0,0,0.224,0.334,0.014,0.894,0.026,0.345,11.245,0.746,3.357
AMR,Text-llmLlama,0,1,0,0,1,0,0,0.19,0.285,0.016,0.948,0.026,0.324,11.264,0.752,3.384
AMR,Text-llmST,0,1,0,0,1,0,0,0.219,0.33,0.015,0.909,0.026,0.338,11.217,0.748,3.313
AMR,Visual-CNN,0,0,1,0,1,0,0,0.151,0.229,0.01,0.838,0.024,0.33,11.37,0.771,3.368
AMR,Visual-AVF,0,0,1,0,1,0,0,0.048,0.061,0.001,0.729,0.026,0.263,11.319,0.811,3.619
AMR,Audio-BLF,0,0,0,1,1,0,0,0.161,0.242,0.008,0.906,0.03,0.291,11.142,0.792,3.203
