userId,train,gt,rec_AMR_text,CR_AMR_text,PB_AMR_text,FA_AMR_text,NO_AMR_text,DI_AMR_text,CB_AMR_text,RC_AMR_text,ND_AMR_text,CV_AMR_text
1,"[2692, 260, 1028, 1287, 1029, 1035, 914, 661, 150, 919, 1193, 1961, 2355, 1207, 1097, 2762, 588, 595, 1246, 608, 2028, 2797, 3186, 1907, 2804, 1270]","[2791, 1962, 1197, 3408, 594, 1721, 1022]","[1197, 1198, 318, 2858, 594, 3147, 912, 2081, 1291, 593]",0.0,0.02218978102189781,0.23618421052631589,10.300206897599935,0.8264021164021164,2.4515906297872463,0.2857142857142857,0.38121301394452073,0.8969072164948454
2,"[1792, 648, 265, 1801, 1544, 780, 2312, 3471, 1552, 2067, 1687, 1945, 1953, 3107, 163, 165, 1193, 1962, 2858, 1196, 1198, 1968, 2353, 3893, 3255, 3256, 1207, 442, 3257, 1213, 318, 1090, 2628, 2501, 3654, 457, 589, 1103, 593, 2002, 1370, 1372, 1244, 1246, 2396, 736, 3809, 1245, 2916, 235, 2028, 368, 1917]","[1537, 2881, 515, 1247, 1527, 647, 3147, 590, 2194, 434, 1690, 920, 3735, 1784, 2490, 2717, 95]","[434, 590, 733, 3147, 858, 608, 2058, 1197, 1304, 474]",0.1,0.01,0.281021897810219,10.513670217790539,0.7322222222222223,2.656718980929999,0.17647058823529413,0.4537425745411855,0.8969072164948454
3,"[260, 1291, 653, 1304, 2081, 2470, 552, 1961, 2858, 1196, 1197, 1968, 2355, 1079, 3534, 590, 593, 733, 1378, 104, 1394, 1270]","[2115, 648, 1580, 1261, 1198, 1615, 1136, 1266, 2997, 2617, 3868]","[2804, 648, 2791, 1580, 589, 2797, 2628, 1721, 1198, 3753]",0.0,0.018613138686131386,0.14588235294117657,11.011457812028242,0.8151851851851852,2.6050945380281476,0.2727272727272727,0.2999050316974944,0.8969072164948454
4,"[260, 3527, 1097, 1387, 2028, 1196, 1198, 1240, 1214, 2366]",[2692],"[1200, 541, 924, 2987, 1270, 858, 1291, 3471, 2716, 1374]",0.0,0.011569343065693431,0.10000000000000009,11.729498931198503,0.8425925925925927,1.950722101875958,0.0,0.0,0.8969072164948454
5,"[2560, 1921, 515, 2692, 265, 3083, 908, 2959, 913, 2580, 1429, 150, 919, 2716, 2717, 3744, 2723, 2599, 1192, 1449, 2858, 3499, 3624, 2987, 1580, 2355, 2997, 318, 1089, 1729, 968, 2762, 3408, 3793, 1617, 593, 2384, 728, 2908, 1500, 733, 1884, 608, 353, 1635, 357, 3176, 1513, 2028, 2291, 1653, 377, 2683, 2428, 509]","[288, 224, 1527, 2916, 1732, 1734, 2058, 1643, 2700, 1485, 1517, 2353, 1909, 1719, 1721, 3386, 1213]","[778, 2396, 223, 2700, 247, 3481, 2712, 2706, 1060, 3745]",0.0,0.01824817518248175,0.18040000000000012,10.97282749767474,0.7411111111111112,6.150932904808911,0.058823529411764705,0.09478836436955078,0.8969072164948454
6,"[1028, 3717, 1674, 1035, 266, 912, 914, 2966, 920, 2081, 2082, 3624, 3753, 2858, 3501, 2100, 1088, 838, 2506, 588, 590, 3534, 3536, 3408, 595, 2396, 3682, 377, 383]",[368],"[1721, 2355, 2941, 457, 1393, 2501, 150, 919, 339, 3751]",0.0,0.04978102189781022,0.19926686217008815,10.113948832703674,0.8151851851851852,1.5670836581040006,0.0,0.0,0.8969072164948454
7,"[3107, 648, 3753, 2028, 1580, 589, 442, 2353, 3793, 1270, 3256, 474, 733]","[2916, 377, 1196, 457]","[457, 2916, 1197, 377, 1370, 1196, 1291, 593, 1552, 1527]",0.0,0.056861313868613136,0.2490372272143775,9.880301244380316,0.631957671957672,0.6578153268797203,1.0,0.9438661545147249,0.8969072164948454
8,"[2688, 1027, 2692, 1801, 266, 2702, 1682, 2324, 2712, 3481, 538, 282, 2336, 288, 161, 163, 1059, 3107, 2600, 2858, 555, 1580, 1711, 3257, 2490, 1213, 589, 1488, 337, 2396, 733, 2908, 608, 2916, 3173, 2023, 105, 2028, 1393, 3186, 2291, 1653, 377, 508, 253, 2686]","[1120, 1476, 454, 3528, 265, 3147, 908, 524, 111, 1721, 3252, 150, 151, 3256, 2329, 3386]","[593, 1729, 318, 628, 1584, 3176, 1805, 150, 1620, 457]",0.0,0.07036496350364964,0.33246887966804994,8.41731991874548,0.5855555555555556,4.810863470657941,0.0625,0.06943122193677727,0.8969072164948454
9,"[1921, 2692, 3717, 778, 524, 2959, 912, 529, 1552, 1682, 2324, 920, 1060, 805, 1446, 3623, 2599, 1961, 2858, 3751, 300, 1584, 2355, 3255, 1721, 1213, 318, 1089, 838, 457, 3147, 1356, 590, 1358, 3408, 593, 1617, 3793, 1500, 223, 2028, 1777, 1653, 1784, 377, 1148, 2302]","[608, 1223, 2762, 367, 1393, 3253, 150, 508]","[150, 608, 2762, 1393, 265, 1625, 2396, 2329, 3481, 588]",0.1,0.04868613138686132,0.21499250374812595,9.893939401691835,0.8251851851851851,4.19900682695343,0.5,0.647939623894138,0.8969072164948454
10,"[1028, 1035, 1042, 2067, 539, 541, 2078, 543, 2080, 2081, 2082, 1059, 2599, 2087, 2090, 1580, 2094, 1584, 1586, 2100, 1079, 1080, 2617, 2105, 1088, 1091, 2115, 1097, 586, 588, 589, 590, 592, 1617, 1104, 594, 596, 3668, 2640, 2135, 2136, 2140, 1633, 2657, 1125, 3175, 104, 1136, 2161, 116, 1653, 3701, 1148, 3198, 648, 1676, 653, 1682, 150, 153, 1690, 2716, 2717, 1196, 1197, 1198, 1200, 1203, 3252, 3255, 1721, 186, 1214, 1215, 3264, 1223, 223, 3296, 1247, 1252, 2791, 743, 2795, 2291, 2804, 1270, 1271, 248, 2300, 1276, 765, 260, 2312, 1291, 780, 2324, 1302, 1304, 282, 2336, 2858, 2863, 2355, 3386, 1339, 316, 830, 1345, 329, 2378, 3408, 339, 344, 858, 1371, 1372, 1884, 1374, 1375, 351, 2396, 1376, 357, 2407, 367, 3439, 370, 2424, 1918, 1921, 898, 1409, 2948, 904, 2959, 3471, 913, 912, 918, 919, 2968, 3481, 920, 923, 924, 2470, 1961, 3501, 943, 435, 2997, 2497, 2011, 3037, 2015, 3039, 2021, 1513, 1517, 1019, 1020, 2046]","[2436, 2054, 1287, 1544, 3593, 2826, 3087, 784, 914, 2967, 3097, 3868, 926, 1278, 3363, 3751, 180, 3254, 953, 318, 2622, 2302, 2628, 2501, 2762, 587, 2124, 1356, 2001, 1234, 595, 2002, 1240, 3675, 3809, 1387, 2797, 750, 368, 1394, 1784, 253, 1022, 2431]","[838, 2054, 2628, 1356, 914, 587, 1394, 1373, 2987, 750]",0.0,0.0042700729927007295,0.10000000000000009,11.873296362254102,0.8356613756613755,1.4488188131193678,0.1590909090909091,0.6442227883107535,0.8969072164948454
